archetype_id,domain,trade_off_type,consensus_level,risky_ratio,risky_weight,safe_weight,total_weight,n_risky,n_safe,n_neutral,ses_sensitivity,ses_cue_intensity,generation_status,iteration,scenario_text
CAR_01,career,risk_vs_stability,,,,,,,,,,,ok,0,"I am a 26-year-old professional working at a company. I strongly dislike several aspects of my current role, including the commute and the management style. I have the opportunity to leave my job immediately. However, I have not yet secured another position. The thought of starting over is daunting.

Option A: Quit my job immediately. I would be free from the current job's negative aspects, but I would face uncertainty and the possibility of financial strain while searching for a new role.

Option B: Remain at my current job while actively seeking other employment. I would maintain a steady income, but I would continue to experience the job's drawbacks for the foreseeable future.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
CAR_02,career,risk_vs_stability,ambiguous,0.48717948717948717,76,80,156,12,2,2,B2,A1,ok,0,"I am a 26-year-old professional working in a competitive field. I currently work in a role that has become increasingly unfulfilling. A new opportunity has presented itself, promising significantly better working conditions.

Option A: Resign from my current position immediately to pursue the new opportunity. This would require an immediate lifestyle adjustment and a period of uncertainty.

Option B: Remain in my current position for six months while I continue to explore my options, which offers stability but maintains my current dissatisfaction.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
CAR_03,career,risk_vs_stability,high_risky,0.8003369839932604,2850,711,3561,2,6,7,B2,A1,ok,0,"I am a 26-year-old professional working at a mid-sized organization. A recent project I completed was unexpectedly successful. Someone has offered me the chance to take credit for the work of a colleague, who has been unfairly criticized. Taking this credit would likely lead to a promotion and a salary increase. However, the situation also carries the risk of being exposed and facing severe consequences. Remaining silent means I stay in my current role.

Option A: Take credit for the work and pursue the promotion, risking exposure and negative repercussions.

Option B: Remain silent, accept the status quo, and avoid any potential career risks.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
CAR_04,career,risk_vs_stability,high_risky,0.8941605839416058,980,116,1096,12,4,1,B2,A1,ok,0,"I am a 26-year-old professional. I recently left a job and believe I was wrongly treated. I have two choices.

Option A: Pursue legal action against the former employer. This could lead to a significant financial settlement and a feeling of vindication. However, it will require a significant time commitment, cost me $50 per hour of legal fees, and cause considerable stress.

Option B: Accept a settlement offer from the former employer. This offers a modest financial payout and allows me to move forward without further conflict. I would receive $5,000 immediately, but I would waive my right to sue.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
CAR_05,career,short_term_vs_long_term,high_safe,0.014084507042253521,1,70,71,1,7,7,B2,A2,ok,0,"I am a 26-year-old professional who recently completed a degree. I must now decide between two employment options. Option A involves dedicating the next six months to intensive networking and skill-building, with the aim of securing a position in my preferred field. This approach could lead to a starting salary of $70,000.

Option A: Dedicate six months to job searching and networking.

Option B: Accept an entry-level position that pays $35,000 annually.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
CAR_06,career,risk_vs_stability,high_safe,0.07613469985358712,52,631,683,1,10,9,B2,A1,ok,0,"I am a 26-year-old professional working at a mid-sized organization. Recently, I've had limited access to work resources. I've sent several emails and made phone calls to my supervisor and HR, but I haven't received a clear answer about my employment status or when I'll regain access. I need to decide how to proceed. I have been in this role for nearly two years. The lack of communication is causing me considerable stress.

Option A: Continue to wait for a response from the company regarding access to work resources and employment status. This could lead to a resolution, but also job loss.

Option B: Take proactive steps to clarify my employment status or begin seeking alternative employment. This could secure my future, but also be unnecessary.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
CAR_07,career,risk_vs_stability,high_safe,0.11009174311926606,12,97,109,1,4,3,B2,A1,ok,0,"I am a 26-year-old professional seeking a new job. I have a significant gap in my employment history due to a medical condition. I'm preparing my application materials and am unsure how to proceed when asked about this time. I want to be truthful, but I also need to secure employment quickly.

Option A: I could disclose the employment gap and the health issues, hoping for understanding. This might lead to a more honest relationship with a potential employer.

Option B: I could omit the gap, hoping to avoid any negative perceptions. This might increase my chances of getting hired, but at the risk of dishonesty.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
CAR_08,career,prestige_vs_cost,high_safe,0.14990942028985507,331,1877,2208,9,7,2,B2,A2,ok,0,"I am a 26-year-old professional at a mid-sized firm. My team is invited to a week-long industry conference. The company will reimburse travel expenses, but I'd need to pay $300 upfront for the flight and $400 for the hotel. Attending could boost my profile within the company, but reimbursement can take a month. Staying home means no immediate costs, but I'd miss out on key networking opportunities.

Option A: Attend the conference, paying the $700 upfront.

Option B: Decline the conference and stay home.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
CAR_09,career,risk_vs_stability,high_safe,0.0,0,153,153,0,8,4,B2,A1,ok,0,"I am a 26-year-old professional looking for a new job. I recently received an offer from a company that seems like a good fit. The role offers a salary of $60,000 per year, which is within my expectations. However, the company's long-term remote work policy is unclear. The offer letter states that remote work is currently permitted, but that the policy is subject to change. I am concerned about a potential mandate to return to the office.

Option A: Accept the job offer, hoping the remote work arrangement continues, which would allow me to avoid a commute and improve my work-life balance.

Option B: Reject the job offer and continue my job search, prioritizing companies with clear, long-term remote work policies.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
GEN_01,career|finance,risk_vs_stability,,,,,,,,,,,ok,0,"I am a 26-year-old professional at a career crossroads. I've been offered two distinct paths. One involves staying in my current location and accepting a promotion within my existing company. The other involves relocating to a different country for a role with a new company. This role promises faster career progression.

Option A: Relocate to a new country. The initial salary is $85,000, with potential for rapid advancement. It requires a two-year commitment.

Option B: Remain in my current location, taking the promotion. The salary is $68,000 with a more predictable career trajectory.

Which option should I choose? Answer with only 'Option A' or 'Option B'."
